Url,Name,Username,About,Location,Website,Joined On,Total Media Count,Verified,Born On,No. of Tweets,Following,Followers,List Counts
https://twitter.com/shahidkapoor,Shahid Kapoor,shahidkapoor,"Actor, Dreamer, Lover, Believer .",,https://t.co/i0eyn68kVF,2009-07-14 06:58:48,280,True,,6359,103,9862321,14291
Tweet ID,Retweeted,Date Created,Time Created,No. of Retweets,Likes,No. of hashtags,Hashtag texts,No. of User Mentions,User Mentions Text,Media Type,Source,Geo,Coordinates,Place,Contributors,Is Quote Status,Favorited,Possibly Sensitive,Language
837195383101145089,False,2017-03-02,06:58:28,145,474,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837195283905789952,False,2017-03-02,06:58:04,133,506,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837195220685041664,False,2017-03-02,06:57:49,149,556,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837195076958892033,False,2017-03-02,06:57:15,146,507,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837194941294067714,False,2017-03-02,06:56:42,121,496,0,,0,,,Twitter for iPhone,,,,,True,False,False,und
837194816786149376,False,2017-03-02,06:56:13,200,595,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837194413810061316,False,2017-03-02,06:54:37,263,629,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837194353995100160,False,2017-03-02,06:54:22,126,513,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837194289155358724,False,2017-03-02,06:54:07,141,498,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837194144904843264,False,2017-03-02,06:53:33,132,472,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837194031612440576,False,2017-03-02,06:53:06,192,617,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837193865329274880,False,2017-03-02,06:52:26,131,507,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837193794865016836,False,2017-03-02,06:52:09,200,804,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
837193441796829185,False,2017-03-02,06:50:45,270,1984,0,,0,,,Twitter for iPhone,,,,,False,False,,en
836834897411047424,False,2017-03-01,07:06:01,431,3197,1,shanatics,0,,,Twitter for iPhone,,,,,False,False,,en
836797075899711488,False,2017-03-01,04:35:44,365,2658,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
836299301504626688,False,2017-02-27,19:37:45,122,230,0,,1,Raghuvendra Singh,,Twitter for iPhone,,,,,False,False,,und
835746898447323136,False,2017-02-26,07:02:42,256,0,1,Rangoon,2,"Poulomi,Shahid Kapoor",,Twitter for iPhone,,,,,False,False,,en
835125060281253888,False,2017-02-24,13:51:44,216,0,1,Rangoon,1,Vishal,,Twitter for iPhone,,,,,False,False,,en
835124983152115713,False,2017-02-24,13:51:26,156,0,1,Rangoon,3,"Vinamra,Shahid Kapoor,Warda S Nadiadwala",,Twitter for iPhone,,,,,False,False,False,en
835111758939439104,False,2017-02-24,12:58:53,305,1923,0,,0,,,Twitter for iPhone,,,,,True,False,False,en
835079713655783424,False,2017-02-24,10:51:33,180,0,0,,2,"Anant Shukla,Shahid Kapoor",,Twitter for iPhone,,,,,False,False,,en
835078210748624896,False,2017-02-24,10:45:35,153,0,1,Rangoon,2,"Adeem Altaf,Shahid Kapoor",,Twitter for iPhone,,,,,False,False,,en
835078174354599936,False,2017-02-24,10:45:26,129,0,4,"Rangoon,ShahidKapoor,Kangana,SaifAliKhan",1,Moviez Adda,,Twitter for iPhone,,,,,False,False,False,en
835037678370439169,False,2017-02-24,08:04:31,165,0,1,Rangoon,2,"Pakodi films,Shahid Kapoor",,Twitter for iPhone,,,,,False,False,,en
835034120774377473,False,2017-02-24,07:50:23,176,1048,0,,0,,,Twitter for iPhone,,,,,True,False,False,und
835033031043842048,False,2017-02-24,07:46:03,246,0,1,RangoonToday,1,Shahid KapoorWebsite,,Twitter for iPhone,,,,,False,False,,en
834988174514470914,False,2017-02-24,04:47:48,116,216,0,,1,Rahul Narwar,,Twitter for iPhone,,,,,False,False,,und
834987862055665664,False,2017-02-24,04:46:34,102,184,0,,1,Mubina Rattonsey,,Twitter for iPhone,,,,,False,False,,und
834982405668745216,False,2017-02-24,04:24:53,115,204,0,,1,Atish,,Twitter for iPhone,,,,,False,False,,und
